GROUP;bdate;year.bdate;bday.count;city.id;city.title;amount.city;country.id;country.title;deactivated;last_seen.platform;last_seen.time;online;online_app;online_mobile;sex
1;6.6.1984;1984;287;314.0;Kyiv;960;2.0;Ukraine;;7.0;1387307512.0;0;;;2
1;11.4.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;7.0;1538686016.0;0;;;1
1;22.8.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;7.0;1530519172.0;0;;;1
1;21.11.1984;1984;287;55.0;Ivanovo;35;1.0;Russia;;7.0;1372329796.0;0;;;1
1;20.11.1984;1984;287;110.0;Perm;154;1.0;Russia;;7.0;1384159997.0;0;;;1
1;26.4.1984;1984;287;101.0;Novocherkassk;3;1.0;Russia;;1.0;1546097450.0;0;;;2
1;3.7.1984;1984;287;1.0;Moscow;2446;1.0;Russia;;7.0;1382301047.0;0;;;1
1;23.9.1984;1984;287;1.0;Moscow;2446;1.0;Russia;;7.0;1356445184.0;0;;;2
1;10.7.1984;1984;287;1.0;Moscow;2446;1.0;Russia;;7.0;1363416736.0;0;;;2
1;22.2.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;1.0;1379594314.0;0;;;1
1;1.8.1984;1984;287;;;0;;;;7.0;1545319659.0;0;;;2
1;4.10.1984;1984;287;22.0;Arkhangelsk;180;1.0;Russia;;2.0;1546107787.0;0;;;1
1;10.6.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;7.0;1412655265.0;0;;;1
1;9.8.1984;1984;287;14018.0;Sumskiy Posad;1;1.0;Russia;;7.0;1546016453.0;0;;;1
1;7.4.1984;1984;287;552.0;Luhansk;85;2.0;Ukraine;;7.0;1351522318.0;0;;;1
1;5.8.1984;1984;287;;;0;;;;7.0;1348519734.0;0;;;2
1;4.5.1984;1984;287;1.0;Moscow;2446;1.0;Russia;;5.0;1479013589.0;0;;;2
1;12.5.1984;1984;287;5331.0;Los Angeles;61;9.0;USA;;7.0;1384750413.0;0;;;2
1;1.5.1984;1984;287;88.0;Naberezhnye Chelny;64;1.0;Russia;;7.0;1351787570.0;0;;;2
1;28.1.1984;1984;287;1037272.0;Timsher;1;1.0;Russia;;1.0;1546104593.0;0;;;1
1;6.5.1984;1984;287;2001.0;Pervouralsk;4;1.0;Russia;;7.0;1397712235.0;0;;;2
1;3.3.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;7.0;1433095592.0;0;;;1
1;3.3.1984;1984;287;1.0;Moscow;2446;1.0;Russia;;1.0;1545402833.0;0;;;2
1;20.3.1984;1984;287;295.0;London;20;49.0;United Kingdom;;7.0;1546108864.0;0;;;2
1;7.3.1984;1984;287;49.0;Yekaterinburg;186;1.0;Russia;;4.0;1544423433.0;0;;;2
1;5.2.1984;1984;287;1.0;Moscow;2446;1.0;Russia;;7.0;1501354623.0;0;;;2
